Query,Response,Category,Context
What is the admission fee?,"General: ₹67,180; TFW: ₹42,180; SC/OEC: ₹6,680. Deductions for fees already paid to CEE.",Admission,"The admission process at MEA Engineering College involves a detailed evaluation of academic records, entrance exam scores, and other credentials to ensure that only the most qualified candidates are selected for our diverse programs."
What is the process if a candidate's application for B.Tech is late or incomplete?,Late and incomplete applications will be rejected. Documents submitted after the application deadline will not be considered.,Admission,"The admission process at MEA Engineering College involves a detailed evaluation of academic records, entrance exam scores, and other credentials to ensure that only the most qualified candidates are selected for our diverse programs."
How can international students apply?,International students can apply through our international admissions office.,Admission,"The admission process at MEA Engineering College involves a detailed evaluation of academic records, entrance exam scores, and other credentials to ensure that only the most qualified candidates are selected for our diverse programs."
What is the procedure for lateral entry admission to B.Tech?,"Lateral entry is for Diploma holders with at least 45% marks, who have passed the Lateral Entry test conducted by the Govt. of Kerala.",Admission,"The admission process at MEA Engineering College involves a detailed evaluation of academic records, entrance exam scores, and other credentials to ensure that only the most qualified candidates are selected for our diverse programs."
What is the fee structure for B.Tech program?,B TECH PROGRAMME ITEM General TFW SC/OEC TOTAL FEE (Including CD& other fee) 67180 42180 6680 Fees already paid to CEE 10000 1000 1000 Balance to be paid at the time of Admission 57180 41180 5680,Admission,"The admission process at MEA Engineering College involves a detailed evaluation of academic records, entrance exam scores, and other credentials to ensure that only the most qualified candidates are selected for our diverse programs."
What documents are needed at the time of joining?,"Documents to be produced at the time of joining: 1. Second Phase Allotment Memo 2. SSLC Certificate + Two Copies 3. +2 or Equivalent Certificate + Two Copies 4. TC & Conduct Certificate 5. Admit Card & Data Sheet of Entrance Examination 6. Physical Fitness Certificate 7. Receipt of Fee Remitted by online to CEE 8. Copy of Aadhaar Card 9. Migration Certificate, if applicable 10. Originals of all documents/certificates uploaded during the online application to CEE 11. 7 Copies of Passport Size Photos",Admission,"The admission process at MEA Engineering College involves a detailed evaluation of academic records, entrance exam scores, and other credentials to ensure that only the most qualified candidates are selected for our diverse programs."
What documents must NRI candidates provide for admission?,"NRI candidates must provide a certificate proving their NRI status to claim the reserved seats, and they are exempt from entrance exams.",Admission,"The admission process at MEA Engineering College involves a detailed evaluation of academic records, entrance exam scores, and other credentials to ensure that only the most qualified candidates are selected for our diverse programs."
What is the joining schedule for KEAM second phase allotment?,JOINING SCHEDULE - KEAM SECOND PHASE ALLOTMENT Date and Time for joining Engineering Courses - 2023 Date 9.30 am 1.30 pm 14.08.2023 Artificial Intelligence & Data Science (AD) Mechanical Engineering (ME) 15.08.2023 Computer Science & Engineering (CS) Computer Science & Engineering (CS) 16.08.2023 Computer Science & Engineering (CS) Computer Science & Engineering (CS) 17.08.2023 Electrical & Computer Engineering (EL) Electrical & Electronics Engineering (EE) 18.08.2023 Information Technology (IT) Information Technology (IT) 19.08.2023 Civil Engineering (CE),Admission,"The admission process at MEA Engineering College involves a detailed evaluation of academic records, entrance exam scores, and other credentials to ensure that only the most qualified candidates are selected for our diverse programs."
How can I apply for a scholarship?,Applications for scholarships can be submitted online through the college website.,Admission,"The admission process at MEA Engineering College involves a detailed evaluation of academic records, entrance exam scores, and other credentials to ensure that only the most qualified candidates are selected for our diverse programs."
What is the selection criteria for M.Tech without a GATE score?,"In the absence of a valid GATE score, seats will be filled based on merit in the qualifying examination for candidates from Kerala State.",Admission,"The admission process at MEA Engineering College involves a detailed evaluation of academic records, entrance exam scores, and other credentials to ensure that only the most qualified candidates are selected for our diverse programs."
What is the application process?,"Apply online through the college website, with a fee of Rs 600 for B.Tech and Rs 650 for M.Tech applications.",Admission,"The admission process at MEA Engineering College involves a detailed evaluation of academic records, entrance exam scores, and other credentials to ensure that only the most qualified candidates are selected for our diverse programs."
What is the eligibility for M.Tech admissions?,"Candidates must have a B.Tech in a related field with 60% marks, 54% for SEBC, and just a pass for SC/ST, and must have a valid GATE score.",Admission,"The admission process at MEA Engineering College involves a detailed evaluation of academic records, entrance exam scores, and other credentials to ensure that only the most qualified candidates are selected for our diverse programs."
What B.Tech programs are offered by MEA?,"MEA offers B.Tech programs in various disciplines including Computer Science & Engineering, Electronics & Communication Engineering, Electrical & Electronics Engineering, Mechanical Engineering, Civil Engineering,Artifical Intelligence and Data Science  and Information Technology.",Admission,"The admission process at MEA Engineering College involves a detailed evaluation of academic records, entrance exam scores, and other credentials to ensure that only the most qualified candidates are selected for our diverse programs."
What career opportunities are currently available?,We have various career opportunities available across different departments and positions. Please visit our careers page for current openings and application details.,Career,"Our Career Services department provides extensive support to students through job placement opportunities, career counseling, and partnerships with leading industries, aiming to align student aspirations with professional opportunities."
How can I apply for a job at your institution?,You can apply for a job at our institution by visiting our careers page on our website. Simply find the position you're interested in and follow the instructions to submit your application.,Career,"Our Career Services department provides extensive support to students through job placement opportunities, career counseling, and partnerships with leading industries, aiming to align student aspirations with professional opportunities."
What qualities do you value in potential candidates?,"We value candidates who are passionate, innovative, and dedicated to their field. Strong communication skills, teamwork, and a willingness to learn are also highly valued.",Career,"Our Career Services department provides extensive support to students through job placement opportunities, career counseling, and partnerships with leading industries, aiming to align student aspirations with professional opportunities."
Do you offer opportunities for professional development?,"Yes, we offer opportunities for professional development through various training programs, workshops, and opportunities for skill enhancement.",Career,"Our Career Services department provides extensive support to students through job placement opportunities, career counseling, and partnerships with leading industries, aiming to align student aspirations with professional opportunities."
What are the benefits of working at your institution?,"Working at our institution comes with a range of benefits, including competitive compensation, opportunities for professional development, a supportive work environment, and more.",Career,"Our Career Services department provides extensive support to students through job placement opportunities, career counseling, and partnerships with leading industries, aiming to align student aspirations with professional opportunities."
How can I contact the head of the AI and DS department?,"You can contact the head of the AI and DS department at Email: sreeram@meaec.edu.in, Phone: +91 9745806888.",Contact Information,"For any queries or support, reach out to our dedicated help desk via email, phone, or visit our campus offices. We are here to assist you with admissions, academic advising, and any other needs."
Can you provide contact details for staff in the AI and Data Science department?,"Here are the contact details for staff in the AI and Data Science department: Prof. Sreeram S. (Head of Department): Email: sreeram@meaec.edu.in, Phone: +91 9745806888, Prof. Ms. Liloja: Email: liloja@meaec.edu.in, Prof. Mrs. Ayishathahira C H: Email: ayishathahira@meaec.edu.in, Prof. Mrs. Naseeba T: Email: naseeba@meaec.edu.in, Ms. Ambili CV: Email: ambilicv@meaec.edu.in, Mrs. Aneesa: Email: aneesamp@meaec.edu.in, Mrs. Afeefa T (Adhoc): Email: afeefa@meaec.edu.in, Mr. Mohammed Nisam T (Instructor): Email: mohammednisam@meaec.edu.in.",Contact Information,"For any queries or support, reach out to our dedicated help desk via email, phone, or visit our campus offices. We are here to assist you with admissions, academic advising, and any other needs."
What's the contact information for the Principal of MEA?,"You can contact Dr. G. Ramesh, the Principal of Mechanical Engineering, at Phone: +91 9841022371.",Contact Information,"For any queries or support, reach out to our dedicated help desk via email, phone, or visit our campus offices. We are here to assist you with admissions, academic advising, and any other needs."
How do I get in touch with the Administration Manager?,"To get in touch with Mr. C. K. Zubair, the Administration Manager, please call: +91 9447946595.",Contact Information,"For any queries or support, reach out to our dedicated help desk via email, phone, or visit our campus offices. We are here to assist you with admissions, academic advising, and any other needs."
What's the email address for the Dean of Research?,"The email address for Dr. Hema Nalini A. V, the Dean of Research, is: hemanalini@meaec.edu.in.",Contact Information,"For any queries or support, reach out to our dedicated help desk via email, phone, or visit our campus offices. We are here to assist you with admissions, academic advising, and any other needs."
"Who is the Associate Professor in Computer Science & Engineering, and how can I contact them?","The Associate Professor in Computer Science & Engineering is Prof. Sreeram S. You can contact them at Email: sreeram@meaec.edu.in, Phone: +91 9745806888.",Contact Information,"For any queries or support, reach out to our dedicated help desk via email, phone, or visit our campus offices. We are here to assist you with admissions, academic advising, and any other needs."
What are the official contact details for the college?,"You can reach the college at Office Mobile: +91 8281 98 75 56, Office Whatsapp: +91 8848 00 65 95, Email: info@meaec.edu.in.",Contact Information,"For any queries or support, reach out to our dedicated help desk via email, phone, or visit our campus offices. We are here to assist you with admissions, academic advising, and any other needs."
What is the contact information for all staff members of the AI and Data Science department at MEA Engineering College?,"Here are the contact details for key staff members in the AI and Data Science department: Prof. Sreeram S. (Head of Department): Email: sreeram@meaec.edu.in, Phone: +91 9745806888, Prof. Ms. Liloja: Email: liloja@meaec.edu.in, Prof. Mrs. Ayishathahira C H: Email: ayishathahira@meaec.edu.in, Prof. Mrs. Naseeba T: Email: naseeba@meaec.edu.in, Ms. Ambili CV: Email: ambilicv@meaec.edu.in, Mrs. Aneesa: Email: aneesamp@meaec.edu.in, Mrs. Afeefa T (Adhoc): Email: afeefa@meaec.edu.in, Mr. Mohammed Nisam T (Instructor): Email: mohammednisam@meaec.edu.in.",Contact Information,"For any queries or support, reach out to our dedicated help desk via email, phone, or visit our campus offices. We are here to assist you with admissions, academic advising, and any other needs."
Tell me about the B.Tech Electrical & Electronics Engineering.,The B.Tech Electrical & Electronics Engineering spans 4 Years includes 8 Semesters and requires a total of 400 credits to graduate.,B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
Tell me about the B.Tech Mechanical Engineering.,The B.Tech Mechanical Engineering spans 4 Years includes 8 Semesters and requires a total of 400 credits to graduate.,B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
What is the eligibility for B.Tech?,"50% marks in Mathematics separately and 50% marks combined in Mathematics, Physics, Chemistry for general category; 45% combined for management quota; KEAM or JEE score required.",B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
Tell me about the B.Tech Information Technology.,The B.Tech Information Technology spans 4 Years includes 8 Semesters and requires a total of 400 credits to graduate.,B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
Tell me about the B.Tech Civil Engineering.,The B.Tech Civil Engineering spans 4 Years includes 8 Semesters and requires a total of 400 credits to graduate.,B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
Tell me about the B.Tech Artificial Intelligence And Data Science.,The B.Tech Artificial Intelligence And Data Science spans 4 Years includes 8 Semesters and requires a total of 400 credits to graduate.,B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
Tell me about the B.Tech Computer Science & Engineering.,The B.Tech Computer Science & Engineering spans 4 Years includes 8 Semesters and requires a total of 400 credits to graduate.,B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
Tell me about the B.Tech Electrical & Electronics Engineering.,"The B.Tech Electrical & Electronics Engineering spans 4 Years, includes 8 Semesters, and requires a total of 400 credits to graduate. More information can be found at program-btech-eee.php.",B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
Tell me about the B.Tech Artificial Intelligence And Data Science.,"The B.Tech Artificial Intelligence And Data Science spans 4 Years, includes 8 Semesters, and requires a total of 400 credits to graduate. More information can be found at program-btech-ai.php.",B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
Tell me about the B.Tech Electrical & Computer Engineering.,"The B.Tech Electrical & Computer Engineering spans 4 Years, includes 8 Semesters, and requires a total of 400 credits to graduate. More information can be found at program-btech-electrical-computer.php.",B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
Tell me about the B.Tech Electrical & Computer Engineering.,The B.Tech Electrical & Computer Engineering spans 4 Years includes 8 Semesters and requires a total of 400 credits to graduate.,B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
What is B.Tech in Artificial Intelligence and Data Science?,"B.Tech in Artificial Intelligence and Data Science is a four-year undergraduate course focusing on technologies like Machine Learning, AI, Data Mining, and Mathematical Modelling. The course prepares students with skills in data analysis and decision-making.",B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
Why choose B.Tech in Artificial Intelligence and Data Science?,"The course is in high demand due to growing career opportunities in tech industries, involving data science and AI. Graduates can pursue careers as data scientists and analysts, fitting well in various sectors.",B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
Tell me about the B.Tech Mechanical Engineering.,"The B.Tech Mechanical Engineering spans 4 Years, includes 8 Semesters, and requires a total of 400 credits to graduate. More information can be found at program-btech-mech.php.",B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
Tell me about the B.Tech Information Technology.,"The B.Tech Information Technology spans 4 Years, includes 8 Semesters, and requires a total of 400 credits to graduate. More information can be found at program-btech-it.php.",B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
Tell me about the B.Tech Computer Science & Engineering.,The B.Tech Computer Science & Engineering spans 4 Years includes 8 Semesters and requires a total of 400 credits to graduate.,B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
Tell me about the B.Tech Civil Engineering.,"The B.Tech Civil Engineering spans 4 Years, includes 8 Semesters, and requires a total of 400 credits to graduate. More information can be found at program-btech-civil.php.",B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
What are the eligibility criteria for B.Tech?,"50% marks in Mathematics separately and 50% marks in Physics, Chemistry, and Maths.",B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
Can you provide details about the B.Tech Electronics and Communication Engineering program?,"The B.Tech Electronics and Communication Engineering program is a four-year undergraduate course designed to impart knowledge in electronics, communication systems, and signal processing. Graduates from this program can pursue careers in telecommunications, embedded systems, and semiconductor industries.",B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
What distinguishes the B.Tech Computer Science & Engineering program at your college?,"Our B.Tech Computer Science & Engineering program focuses on a holistic approach, integrating theoretical concepts with practical applications. With state-of-the-art labs and experienced faculty, students gain hands-on experience in cutting-edge technologies like artificial intelligence, machine learning, and cybersecurity.",B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
Tell me about the curriculum structure of the B.Tech Artificial Intelligence And Data Science program.,"The curriculum of the B.Tech Artificial Intelligence And Data Science program is carefully crafted to cover fundamental concepts in AI, machine learning, big data analytics, and data visualization. Students engage in practical projects and internships to apply their knowledge to real-world problems, preparing them for careers in data-driven industries.",B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
How does the B.Tech Electrical & Computer Engineering program differ from traditional electrical engineering?,"The B.Tech Electrical & Computer Engineering program offers a unique blend of electrical engineering principles with computer science fundamentals. Students learn to design and implement hardware-software systems, enabling them to work on cutting-edge technologies such as IoT, embedded systems, and robotics.",B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
What career prospects are available for graduates of the B.Tech Information Technology program?,"Graduates of the B.Tech Information Technology program have diverse career opportunities in software development, IT consulting, cybersecurity, and cloud computing. With a strong foundation in programming and information systems, they are well-equipped to adapt to the rapidly evolving IT industry.",B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
B TECH PROGRAM OFFER BY MEA,"MEA Engineering College offers the following B.Tech courses: Electrical & Electronics Engineering, Mechanical Engineering, Information Technology, Civil Engineering, Artificial Intelligence And Data Science, Computer Science & Engineering, and Electrical & Computer Engineering.",B.Tech,"Our B.Tech programs offer a comprehensive curriculum across various engineering fields, providing students with robust technical education and practical skills to prepare for successful careers in technology and engineering."
What does the curriculum for B.Tech. in Electronics & Communication Engineering include?,"The curriculum for B.Tech. in Electronics & Communication Engineering covers various subjects such as analog and digital communication, electronic devices and circuits, microprocessors, signal processing, and more.",Curriculum,"Our curriculum is designed to foster critical thinking and innovation, with a blend of theoretical knowledge and practical application, tailored to meet the evolving demands of the industry and academia."
What subjects are covered in the curriculum for B.Tech. in Electrical & Electronics Engineering?,"The curriculum for B.Tech. in Electrical & Electronics Engineering includes subjects like electrical machines, power systems, control systems, digital electronics, circuit theory, and more.",Curriculum,"Our curriculum is designed to foster critical thinking and innovation, with a blend of theoretical knowledge and practical application, tailored to meet the evolving demands of the industry and academia."
Can you provide an overview of the curriculum for B.Tech. in Mechanical Engineering?,"The curriculum for B.Tech. in Mechanical Engineering provides an overview of subjects like thermodynamics, fluid mechanics, strength of materials, machine design, manufacturing processes, and more.",Curriculum,"Our curriculum is designed to foster critical thinking and innovation, with a blend of theoretical knowledge and practical application, tailored to meet the evolving demands of the industry and academia."
What topics are included in the curriculum for B.Tech. in Civil Engineering?,"The curriculum for B.Tech. in Civil Engineering covers topics such as structural analysis and design, geotechnical engineering, transportation engineering, environmental engineering, construction management, and more.",Curriculum,"Our curriculum is designed to foster critical thinking and innovation, with a blend of theoretical knowledge and practical application, tailored to meet the evolving demands of the industry and academia."
What does the curriculum for B.Tech. in Artificial Intelligence and Data Science entail?,"The curriculum for B.Tech. in Artificial Intelligence and Data Science includes courses on machine learning, data mining, natural language processing, deep learning, big data analytics, and more, focusing on advanced AI and data science techniques.",Curriculum,"Our curriculum is designed to foster critical thinking and innovation, with a blend of theoretical knowledge and practical application, tailored to meet the evolving demands of the industry and academia."
Could you give me an overview of the curriculum for B.Tech. in Information Technology?,"The curriculum for B.Tech. in Information Technology encompasses subjects like programming languages, database management systems, web technologies, software engineering, network security, and more, preparing students for careers in IT.",Curriculum,"Our curriculum is designed to foster critical thinking and innovation, with a blend of theoretical knowledge and practical application, tailored to meet the evolving demands of the industry and academia."
Who is the member of the academic council from the Civil Engineering Department?,"The member of the academic council from the Civil Engineering Department is Prof. Riya Pious, who is the Academic Coordinator for the Civil Dept.",Department,"Explore our various academic departments, each specializing in different areas of engineering and technology, staffed by esteemed faculty and equipped with state-of-the-art facilities."
Who is the member of the academic council from the AI & DS Department?,"The member of the academic council from the AI & DS Department is Prof. Naseeba T., who serves as the Academic Coordinator for the AI & DS Dept.",Department,"Explore our various academic departments, each specializing in different areas of engineering and technology, staffed by esteemed faculty and equipped with state-of-the-art facilities."
Who is the member of the academic council from the Mechanical Engineering Department?,"The member of the academic council from the Mechanical Engineering Department is Prof. Krishnaprasad, who serves as the Academic Coordinator for the Mech. Dept.",Department,"Explore our various academic departments, each specializing in different areas of engineering and technology, staffed by esteemed faculty and equipped with state-of-the-art facilities."
Who is the head of the Artificial Intelligence & Data Science department?,"The head of the Artificial Intelligence & Data Science department is Prof. Sreeram S. You can contact them via email at sreeram@meaec.edu.in. For more information, visit here.",Department,"Explore our various academic departments, each specializing in different areas of engineering and technology, staffed by esteemed faculty and equipped with state-of-the-art facilities."
Who is the member of the academic council from the CSE Department?,"The member of the academic council from the CSE Department is Prof. Afsar P., who serves as the Academic Coordinator for the CSE Dept.",Department,"Explore our various academic departments, each specializing in different areas of engineering and technology, staffed by esteemed faculty and equipped with state-of-the-art facilities."
Who is the head of the Mathematical Science department?,"The head of the Mathematical Science department is Dr. Sadiquali A. You can contact them via email at sadiqmath@meaec.edu.in. For more information, visit here.",Department,"Explore our various academic departments, each specializing in different areas of engineering and technology, staffed by esteemed faculty and equipped with state-of-the-art facilities."
Who is the head of the Electrical & Computer Engineering department?,"The head of the Electrical & Computer Engineering department is Mr. Aashif M. You can contact them via email at maashif7@meaec.edu.in. For more information, visit here.",Department,"Explore our various academic departments, each specializing in different areas of engineering and technology, staffed by esteemed faculty and equipped with state-of-the-art facilities."
Who is the member of the academic council from the EEE Department?,"The member of the academic council from the EEE Department is Prof. Ajmal M.S., who serves as the Academic Coordinator for the EEE Dept.",Department,"Explore our various academic departments, each specializing in different areas of engineering and technology, staffed by esteemed faculty and equipped with state-of-the-art facilities."
Who is the head of the Mechanical Engineering department?,"The head of the Mechanical Engineering department is Dr. Mubarak M. You can contact them via email at mubarak@meaec.edu.in. For more information, visit here.",Department,"Explore our various academic departments, each specializing in different areas of engineering and technology, staffed by esteemed faculty and equipped with state-of-the-art facilities."
Who is the member of the academic council from the IT Department?,"The member of the academic council from the IT Department is Prof. Hanooja, who is the Academic Coordinator for the IT Dept.",Department,"Explore our various academic departments, each specializing in different areas of engineering and technology, staffed by esteemed faculty and equipped with state-of-the-art facilities."
Who is the head of the Civil Engineering department?,"The head of the Civil Engineering department is Dr. Hema Nalini A. V. You can contact them via email at hemanalini@meaec.edu.in. For more information, visit here.",Department,"Explore our various academic departments, each specializing in different areas of engineering and technology, staffed by esteemed faculty and equipped with state-of-the-art facilities."
Who is the member of the academic council from the Science & Humanities Department?,"The member of the academic council from the Science & Humanities Department is Prof. Noushadali, who serves as the Academic Coordinator for the S&H Dept.",Department,"Explore our various academic departments, each specializing in different areas of engineering and technology, staffed by esteemed faculty and equipped with state-of-the-art facilities."
Who is the member of the academic council from the Decision and Mathematical Sciences Department?,"The member of the academic council from the Decision and Mathematical Sciences Department is Prof. Sahira, who is the Academic Coordinator for the DMS Dept.",Department,"Explore our various academic departments, each specializing in different areas of engineering and technology, staffed by esteemed faculty and equipped with state-of-the-art facilities."
About the Department of AI and Data Science at MEA Engineering College,"Established in 2021, the department offers a curriculum with a deep understanding of AI and data science principles, focusing on practical applications and research. It features experienced faculty and state-of-the-art lab facilities.",Department,"Explore our various academic departments, each specializing in different areas of engineering and technology, staffed by esteemed faculty and equipped with state-of-the-art facilities."
